SOC_code,Occupation,Employment,AI_adaptation_score
11-1011,Chief Executives,5190.0,0.35
11-1021,General and Operations Managers,43520.0,0.3846153846153846
11-2011,Advertising and Promotions Managers,440.0,0.5465116279069767
11-2021,Marketing Managers,11170.0,0.578125
11-2022,Sales Managers,17770.0,0.4833333333333333
11-2032,Public Relations Managers,1880.0,0.5750000000000001
11-2033,Fundraising Managers,1030.0,0.5
11-3012,Administrative Services Managers,4700.0,0.5
11-3013,Facilities Managers,3100.0,0.2727272727272727
11-3021,Computer and Information Systems Managers,23830.0,0.5606060606060607
11-3031,Financial Managers,17040.0,0.4259259259259259
11-3051,Industrial Production Managers,2990.0,0.3484848484848485
11-3061,Purchasing Managers,1320.0,0.4714285714285714
11-3071,"Transportation, Storage, and Distribution Managers",3750.0,0.4732142857142857
11-3111,Compensation and Benefits Managers,590.0,0.4605263157894737
11-3121,Human Resources Managers,4960.0,0.45
11-3131,Training and Development Managers,1110.0,0.4772727272727273
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",60.0,0.2448979591836734
11-9021,Construction Managers,5160.0,0.4
11-9031,"Education and Childcare Administrators, Preschool and Daycare",1920.0,0.515625
11-9032,"Education Administrators, Kindergarten through Secondary",3480.0,0.4545454545454545
11-9033,"Education Administrators, Postsecondary",1720.0,0.475609756097561
11-9041,Architectural and Engineering Managers,5000.0,0.3857142857142857
11-9051,Food Service Managers,4880.0,0.3958333333333333
11-9071,Gambling Managers,40.0,0.4852941176470588
11-9072,"Entertainment and Recreation Managers, Except Gambling",1070.0,0.3823529411764705
11-9081,Lodging Managers,660.0,0.3804347826086956
11-9111,Medical and Health Services Managers,11980.0,0.3714285714285714
11-9121,Natural Sciences Managers,5530.0,0.5666666666666667
11-9131,Postmasters and Mail Superintendents,80.0,0.4523809523809523
11-9141,"Property, Real Estate, and Community Association Managers",7660.0,0.4318181818181818
11-9151,Social and Community Service Managers,5080.0,0.4464285714285714
11-9161,Emergency Management Directors,150.0,0.6
11-9171,Funeral Home Managers,90.0,0.5357142857142857
avg fro,"Managers, All Other",21550.0,0.4654910240471341
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",180.0,0.3695652173913043
13-1022,Buyers and Purchasing Agents,6300.0,0.4
13-1031,"Claims Adjusters, Examiners, and Investigators",3390.0,0.49
13-1032,"Insurance Appraisers, Auto Damage",30.0,0.5
13-1041,Compliance Officers,7500.0,0.6136363636363636
13-1051,Cost Estimators,3300.0,0.4807692307692308
13-1071,Human Resources Specialists,16420.0,0.5888888888888889
13-1075,Labor Relations Specialists,2000.0,0.4433962264150943
13-1081,Logisticians,4570.0,0.4545454545454546
13-1082,Project Management Specialists,20770.0,0.4
13-1111,Management Analysts,23560.0,0.5
