SOC_code,Occupation,Employment,AI_adaptation_score
11-1011,Chief Executives,660.0,0.35
11-1021,General and Operations Managers,8890.0,0.3846153846153846
11-2011,Advertising and Promotions Managers,50.0,0.5465116279069767
11-2021,Marketing Managers,1050.0,0.578125
11-2022,Sales Managers,940.0,0.4833333333333333
11-2032,Public Relations Managers,410.0,0.5750000000000001
11-2033,Fundraising Managers,160.0,0.5
11-3012,Administrative Services Managers,670.0,0.5
11-3013,Facilities Managers,550.0,0.2727272727272727
11-3021,Computer and Information Systems Managers,2180.0,0.5606060606060607
11-3031,Financial Managers,2680.0,0.4259259259259259
11-3051,Industrial Production Managers,560.0,0.3484848484848485
11-3061,Purchasing Managers,640.0,0.4714285714285714
11-3071,"Transportation, Storage, and Distribution Managers",390.0,0.4732142857142857
11-3111,Compensation and Benefits Managers,100.0,0.4605263157894737
11-3121,Human Resources Managers,920.0,0.45
11-3131,Training and Development Managers,180.0,0.4772727272727273
11-9021,Construction Managers,570.0,0.4
11-9031,"Education and Childcare Administrators, Preschool and Daycare",140.0,0.515625
11-9032,"Education Administrators, Kindergarten through Secondary",770.0,0.4545454545454545
11-9033,"Education Administrators, Postsecondary",390.0,0.475609756097561
11-9041,Architectural and Engineering Managers,700.0,0.3857142857142857
11-9051,Food Service Managers,330.0,0.3958333333333333
11-9072,"Entertainment and Recreation Managers, Except Gambling",150.0,0.3823529411764705
11-9081,Lodging Managers,170.0,0.3804347826086956
11-9111,Medical and Health Services Managers,1880.0,0.3714285714285714
11-9121,Natural Sciences Managers,410.0,0.5666666666666667
11-9131,Postmasters and Mail Superintendents,60.0,0.4523809523809523
11-9141,"Property, Real Estate, and Community Association Managers",440.0,0.4318181818181818
11-9151,Social and Community Service Managers,1060.0,0.4464285714285714
11-9161,Emergency Management Directors,120.0,0.6
13-1031,"Claims Adjusters, Examiners, and Investigators",1210.0,0.49
13-1041,Compliance Officers,1710.0,0.6136363636363636
13-1051,Cost Estimators,620.0,0.4807692307692308
13-1071,Human Resources Specialists,2970.0,0.5888888888888889
13-1075,Labor Relations Specialists,690.0,0.4433962264150943
13-1081,Logisticians,350.0,0.4545454545454546
13-1082,Project Management Specialists,3240.0,0.4
13-1111,Management Analysts,3560.0,0.5
13-1121,"Meeting, Convention, and Event Planners",540.0,0.3648648648648649
13-1131,Fundraisers,480.0,0.4903846153846154
13-1141,"Compensation, Benefits, and Job Analysis Specialists",980.0,0.4736842105263157
13-1151,Training and Development Specialists,1830.0,0.5921052631578947
13-1161,Market Research Analysts and Marketing Specialists,2160.0,0.576923076923077
13-2011,Accountants and Auditors,4680.0,0.52
13-2031,Budget Analysts,650.0,0.64
13-2041,Credit Analysts,130.0,0.5555555555555556
13-2051,Financial and Investment Analysts,1190.0,0.5
13-2052,Personal Financial Advisors,680.0,0.6710526315789473
13-2053,Insurance Underwriters,370.0,0.5
13-2054,Financial Risk Specialists,200.0,0.5833333333333334
13-2061,Financial Examiners,320.0,0.5757575757575758
13-2071,Credit Counselors,120.0,0.6931818181818182
13-2072,Loan Officers,560.0,0.6477272727272727
13-2081,"Tax Examiners and Collectors, and Revenue Agents",1190.0,0.6774193548387096
13-2082,Tax Preparers,310.0,0.625
15-1211,Computer Systems Analysts,3290.0,0.4705882352941176
15-1212,Information Security Analysts,470.0,0.5434782608695652
15-1221,Computer and Information Research Scientists,200.0,0.5
15-1231,Computer Network Support Specialists,430.0,0.5384615384615385
15-1232,Computer User Support Specialists,1690.0,0.6666666666666666
15-1241,Computer Network Architects,430.0,0.5546875
15-1242,Database Administrators,400.0,0.5967741935483871
15-1243,Database Architects,150.0,0.5975609756097561
15-1244,Network and Computer Systems Administrators,1060.0,0.5135135135135136
15-1251,Computer Programmers,1430.0,0.6833333333333333
15-1252,Software Developers,3280.0,0.4473684210526315
15-1253,Software Quality Assurance Analysts and Testers,430.0,0.6140350877192982
15-1254,Web Developers,140.0,0.6346153846153847
15-1255,Web and Digital Interface Designers,310.0,0.6833333333333333
15-2011,Actuaries,170.0,0.537037037037037
15-2031,Operations Research Analysts,430.0,0.6290322580645161
15-2041,Statisticians,160.0,0.7105263157894737
15-2051,Data Scientists,830.0,0.59375
