Occupation group code,Occupation group,Jobs,Occupations in group,Avg. study rating,median_study_rating,% high exposure,% medium-high exposure,% medium-low exposure,% low exposure
430000,Office and Administrative Support Occupations,57320.0,44,0.473554087170263,0.4864864864864865,1.04675505931612,58.84508025122122,37.50872295882763,2.5994417306350317
130000,Business and Financial Operations Occupations,30740.0,25,0.5463290294834006,0.5555555555555556,0.0,56.96161353285621,43.03838646714379,0.0
150000,Computer and Mathematical Occupations,15300.0,18,0.5841534474949195,0.5952620967741935,0.0,55.751633986928105,44.248366013071895,0.0
190000,"Life, Physical, and Social Science Occupations",5900.0,25,0.5047310774599186,0.5092592592592592,3.5593220338983054,44.237288135593225,49.32203389830509,2.8813559322033897
410000,Sales and Related Occupations,35230.0,18,0.49519319167172093,0.5235042735042735,0.0,28.526823729775757,71.47317627022424,0.0
170000,Architecture and Engineering Occupations,8860.0,23,0.4340609684146319,0.4333333333333333,0.0,28.103837471783294,71.8961625282167,0.0
110000,Management Occupations,28220.0,31,0.4553745113226969,0.4545454545454545,0.0,15.450035435861093,84.54996456413892,0.0
250000,Educational Instruction and Library Occupations,23990.0,45,0.40757894600248057,0.4,0.0,9.754064193413923,80.49187161317215,9.754064193413923
270000,"Arts, Design, Entertainment, Sports, and Media Occupations",5700.0,24,0.3958816666616614,0.33728448275862066,31.929824561403507,8.596491228070176,38.24561403508772,21.228070175438596
290000,Healthcare Practitioners and Technical Occupations,26620.0,47,0.3027212318366362,0.3181818181818182,0.0,3.5687453042824946,68.10668670172802,28.32456799398948
390000,Personal Care and Service Occupations,8820.0,17,0.24202104100182625,0.2352941176470588,0.0,1.5873015873015872,47.95918367346938,50.45351473922902
230000,Legal Occupations,5080.0,7,0.41342412553281765,0.4482758620689655,0.0,1.3779527559055118,95.66929133858267,2.952755905511811
510000,Production Occupations,12290.0,48,0.08253515084052214,0.06742424242424234,0.0,0.0,0.40683482506102525,99.59316517493897
490000,"Installation, Maintenance, and Repair Occupations",16600.0,30,0.11396618661554547,0.10119047619047615,0.0,0.0,12.530120481927712,87.46987951807229
470000,Construction and Extraction Occupations,16370.0,30,0.046332062952932754,0.03125,0.0,0.0,0.0,100.0
450000,"Farming, Fishing, and Forestry Occupations",320.0,3,0.1736633249791144,0.1578947368421052,0.0,0.0,12.5,87.5
0,All Occupations,449410.0,1,,,0.0,0.0,0.0,0.0
310000,Healthcare Support Occupations,8240.0,13,0.13556927538868957,0.14,0.0,0.0,0.0,100.0
370000,Building and Grounds Cleaning and Maintenance Occupations,13890.0,7,0.1288129162550882,0.0609756097560975,0.0,0.0,3.8876889848812093,96.11231101511879
350000,Food Preparation and Serving Related Occupations,31620.0,14,0.11956277232572185,0.0986590038314176,0.0,0.0,13.282732447817835,86.71726755218216
330000,Protective Service Occupations,9290.0,18,0.24937757867810464,0.24431818181818174,0.0,0.0,26.910656620021527,73.08934337997847
210000,Community and Social Service Occupations,8400.0,12,0.3756961766127194,0.36458333333333326,0.0,0.0,95.71428571428572,4.285714285714286
530000,Transportation and Material Moving Occupations,31030.0,21,0.14992424086517211,0.1666666666666666,0.0,0.0,0.676764421527554,99.32323557847245
