SOC_code,Occupation,Employment,AI_adaptation_score
,All Occupations,4049800.0,
,Management Occupations,379320.0,
11-1011,Chief Executives,2580.0,0.35
11-1021,General and Operations Managers,125090.0,0.3846153846153846
11-2011,Advertising and Promotions Managers,1370.0,0.5465116279069767
11-2021,Marketing Managers,16320.0,0.578125
11-2022,Sales Managers,26780.0,0.4833333333333333
11-2032,Public Relations Managers,2850.0,0.5750000000000001
11-2033,Fundraising Managers,750.0,0.5
11-3012,Administrative Services Managers,6160.0,0.5
11-3021,Computer and Information Systems Managers,30690.0,0.5606060606060607
11-3031,Financial Managers,26600.0,0.4259259259259259
11-3051,Industrial Production Managers,5890.0,0.3484848484848485
11-3061,Purchasing Managers,3400.0,0.4714285714285714
11-3071,"Transportation, Storage, and Distribution Managers",9600.0,0.4732142857142857
11-3111,Compensation and Benefits Managers,790.0,0.4605263157894737
11-3121,Human Resources Managers,7970.0,0.45
11-3131,Training and Development Managers,2150.0,0.4772727272727273
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",100.0,0.2448979591836734
11-9021,Construction Managers,17110.0,0.4
11-9031,"Education and Childcare Administrators, Preschool and Daycare",1330.0,0.515625
11-9032,"Education Administrators, Kindergarten through Secondary",9190.0,0.4545454545454545
11-9033,"Education Administrators, Postsecondary",3390.0,0.475609756097561
,"Education Administrators, All Other",1130.0,
11-9041,Architectural and Engineering Managers,5970.0,0.3857142857142857
11-9051,Food Service Managers,6710.0,0.3958333333333333
11-9072,"Entertainment and Recreation Managers, Except Gambling",1020.0,0.3823529411764705
11-9081,Lodging Managers,1140.0,0.3804347826086956
11-9111,Medical and Health Services Managers,17140.0,0.3714285714285714
11-9121,Natural Sciences Managers,1590.0,0.5666666666666667
11-9131,Postmasters and Mail Superintendents,110.0,0.4523809523809523
11-9141,"Property, Real Estate, and Community Association Managers",15890.0,0.4318181818181818
11-9151,Social and Community Service Managers,3390.0,0.4464285714285714
11-9161,Emergency Management Directors,300.0,0.6
11-9171,Funeral Home Managers,250.0,0.5357142857142857
avg fro,"Managers, All Other",19890.0,0.4654910240471341
,Business and Financial Operations Occupations,298180.0,
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",60.0,0.3695652173913043
13-1022,Buyers and Purchasing Agents,14160.0,0.4
13-1031,"Claims Adjusters, Examiners, and Investigators",8630.0,0.49
13-1032,"Insurance Appraisers, Auto Damage",470.0,0.5
13-1041,Compliance Officers,12530.0,0.6136363636363636
13-1051,Cost Estimators,6200.0,0.4807692307692308
13-1071,Human Resources Specialists,29190.0,0.5888888888888889
13-1075,Labor Relations Specialists,930.0,0.4433962264150943
13-1081,Logisticians,7050.0,0.4545454545454546
13-1082,Project Management Specialists,43120.0,0.4
13-1111,Management Analysts,18010.0,0.5
13-1121,"Meeting, Convention, and Event Planners",3380.0,0.3648648648648649
13-1131,Fundraisers,1190.0,0.4903846153846154
13-1141,"Compensation, Benefits, and Job Analysis Specialists",3070.0,0.4736842105263157
13-1151,Training and Development Specialists,12930.0,0.5921052631578947
13-1161,Market Research Analysts and Marketing Specialists,20900.0,0.576923076923077
avg fro,"Business Operations Specialists, All Other",31200.0,0.5379899336046262
13-2011,Accountants and Auditors,37450.0,0.52
13-2022,Property Appraisers and Assessors,1070.0,0.5714285714285714
13-2031,Budget Analysts,810.0,0.64
13-2041,Credit Analysts,3210.0,0.5555555555555556
13-2051,Financial and Investment Analysts,11530.0,0.5
13-2052,Personal Financial Advisors,6230.0,0.6710526315789473
13-2053,Insurance Underwriters,4140.0,0.5
13-2054,Financial Risk Specialists,2320.0,0.5833333333333334
13-2061,Financial Examiners,2240.0,0.5757575757575758
13-2071,Credit Counselors,1080.0,0.6931818181818182
13-2072,Loan Officers,8370.0,0.6477272727272727
13-2081,"Tax Examiners and Collectors, and Revenue Agents",510.0,0.6774193548387096
13-2082,Tax Preparers,1780.0,0.625
avg fro,"Financial Specialists, All Other",4440.0,0.5924447174447174
,Computer and Mathematical Occupations,196120.0,
15-1211,Computer Systems Analysts,20000.0,0.4705882352941176
15-1212,Information Security Analysts,7080.0,0.5434782608695652
15-1221,Computer and Information Research Scientists,430.0,0.5
15-1231,Computer Network Support Specialists,3340.0,0.5384615384615385
15-1232,Computer User Support Specialists,22600.0,0.6666666666666666
15-1241,Computer Network Architects,5900.0,0.5546875
15-1242,Database Administrators,2430.0,0.5967741935483871
15-1243,Database Architects,4320.0,0.5975609756097561
15-1244,Network and Computer Systems Administrators,11740.0,0.5135135135135136
15-1251,Computer Programmers,3260.0,0.6833333333333333
15-1252,Software Developers,67030.0,0.4473684210526315
