parent_id,child_id,Occupation,AI_adaptation_score
11-1011,11-1011.03,Chief Sustainability Officers,0.3888888888888888
11-3013,11-3013.01,Security Managers,0.5357142857142857
11-3031,11-3031.01,Treasurers and Controllers,0.4078947368421052
11-3031,11-3031.03,Investment Fund Managers,0.5285714285714286
11-3051,11-3051.01,Quality Control Systems Managers,0.4716981132075472
11-3051,11-3051.02,Geothermal Production Managers,0.3833333333333333
11-3051,11-3051.03,Biofuels Production Managers,0.1785714285714285
11-3051,11-3051.04,Biomass Power Plant Managers,0.28125
11-3051,11-3051.06,Hydroelectric Production Managers,0.3142857142857143
11-3071,11-3071.04,Supply Chain Managers,0.4727272727272727
11-9041,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.2758620689655172
11-9121,11-9121.01,Clinical Research Coordinators,0.4661016949152542
11-9121,11-9121.02,Water Resource Specialists,0.4268292682926829
11-9179,11-9179.01,Fitness and Wellness Coordinators,0.2934782608695652
11-9179,11-9179.02,Spa Managers,0.3571428571428571
11-9199,11-9199.01,Regulatory Affairs Managers,0.5384615384615385
11-9199,11-9199.02,Compliance Managers,0.54
11-9199,11-9199.08,Loss Prevention Managers,0.3679245283018867
11-9199,11-9199.09,Wind Energy Operations Managers,0.40625
11-9199,11-9199.10,Wind Energy Development Managers,0.5333333333333333
11-9199,11-9199.11,Brownfield Redevelopment Specialists and Site Managers,0.4069767441860465
13-1041,13-1041.01,Environmental Compliance Inspectors,0.4878048780487805
13-1041,13-1041.03,Equal Opportunity Representatives and Officers,0.5
13-1041,13-1041.04,Government Property Inspectors and Investigators,0.3529411764705882
13-1041,13-1041.06,Coroners,0.4594594594594595
13-1041,13-1041.07,Regulatory Affairs Specialists,0.6696428571428571
13-1041,13-1041.08,Customs Brokers,0.6022727272727273
13-1081,13-1081.01,Logistics Engineers,0.6842105263157894
13-1081,13-1081.02,Logistics Analysts,0.6509433962264151
13-1161,13-1161.01,Search Marketing Strategists,0.5081967213114754
13-1199,13-1199.04,Business Continuity Planners,0.5
13-1199,13-1199.05,Sustainability Specialists,0.6785714285714285
13-1199,13-1199.06,Online Merchants,0.5603448275862069
13-1199,13-1199.07,Security Management Specialists,0.4130434782608695
13-2099,13-2099.01,Financial Quantitative Analysts,0.6621621621621622
13-2099,13-2099.04,"Fraud Examiners, Investigators and Analysts",0.5227272727272727
15-1211,15-1211.01,Health Informatics Specialists,0.6363636363636364
15-1241,15-1241.01,Telecommunications Engineering Specialists,0.5319148936170213
15-1243,15-1243.01,Data Warehousing Specialists,0.6944444444444444
15-1255,15-1255.01,Video Game Designers,0.5833333333333333
15-1299,15-1299.01,Web Administrators,0.6739130434782609
15-1299,15-1299.02,Geographic Information Systems Technologists and Technicians,0.6018518518518519
15-1299,15-1299.03,Document Management Specialists,0.6777777777777778
15-1299,15-1299.04,Penetration Testers,0.5909090909090909
15-1299,15-1299.05,Information Security Engineers,0.625
15-1299,15-1299.06,Digital Forensics Analysts,0.65
15-1299,15-1299.07,Blockchain Engineers,0.5294117647058824
15-1299,15-1299.08,Computer Systems Engineers/Architects,0.5714285714285714
15-1299,15-1299.09,Information Technology Project Managers,0.4523809523809523
15-2041,15-2041.01,Biostatisticians,0.74
15-2051,15-2051.01,Business Intelligence Analysts,0.5757575757575758
15-2051,15-2051.02,Clinical Data Managers,0.5750000000000001
15-2099,15-2099.01,Bioinformatics Technicians,0.65
17-1022,17-1022.01,Geodetic Surveyors,0.40625
17-2051,17-2051.01,Transportation Engineers,0.4886363636363636
