Location,Occupation,Jobs,Employment category,AI exposure rating,AI exposure category,Jobs per 10k,State jobs per 10k,State-metro difference
"Houston-Pasadena-The Woodlands, TX","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",48880.0,High,0.0277777777777777,Low,148.58407402453705,131.36088282700217,17.223191197534874
"Houston-Pasadena-The Woodlands, TX",Construction Laborers,34080.0,High,0.025,Low,103.59544277324514,87.59050426546213,16.00493850778301
"Houston-Pasadena-The Woodlands, TX",Industrial Machinery Mechanics,18360.0,High,0.1451612903225806,Low,55.81022093065671,40.4728536950756,15.337367235581112
"Houston-Pasadena-The Woodlands, TX",Waiters and Waitresses,51330.0,High,0.2244897959183673,Low,156.03151636005495,141.85752986960563,14.173986490449323
"Houston-Pasadena-The Woodlands, TX",Chemical Equipment Operators and Tenders,9390.0,High,0.0652173913043478,Low,28.543462665515605,14.838861899090054,13.704600766425552
"Houston-Pasadena-The Woodlands, TX",Security Guards,29250.0,High,0.2499999999999999,Low,88.91334216893839,75.48062846275644,13.432713706181943
"Houston-Pasadena-The Woodlands, TX",Civil Engineers,12140.0,High,0.375,Medium low,36.90283671558674,24.781183640865432,12.121653074721305
"Houston-Pasadena-The Woodlands, TX","Elementary School Teachers, Except Special Education",30980.0,High,0.3108108108108108,Medium low,94.17214838952859,82.62289676188743,11.549251627641155
"Houston-Pasadena-The Woodlands, TX","Welders, Cutters, Solderers, and Brazers",15850.0,High,0.0392156862745098,Low,48.18039225222816,36.95502005520511,11.225372197023049
"Houston-Pasadena-The Woodlands, TX",Lawyers,16810.0,High,0.475,Medium low,51.098573738798436,40.20990451391357,10.888669224884865
