NEM Code,soc_code,study_rating
11-1021,11-1021.00,0.3846153846153846
11-1031,11-1031.00,0.5166666666666666
11-2011,11-2011.00,0.5465116279069767
11-2021,11-2021.00,0.578125
11-2022,11-2022.00,0.4833333333333333
11-2032,11-2032.00,0.5750000000000001
11-2033,11-2033.00,0.5
11-3012,11-3012.00,0.5
11-3021,11-3021.00,0.5606060606060607
11-3061,11-3061.00,0.4714285714285714
11-3111,11-3111.00,0.4605263157894737
11-3121,11-3121.00,0.45
11-3131,11-3131.00,0.4772727272727273
11-9013,11-9013.00,0.2448979591836734
11-9021,11-9021.00,0.4
11-9031,11-9031.00,0.515625
11-9032,11-9032.00,0.4545454545454545
11-9033,11-9033.00,0.475609756097561
11-9051,11-9051.00,0.3958333333333333
11-9071,11-9071.00,0.4852941176470588
11-9072,11-9072.00,0.3823529411764705
11-9081,11-9081.00,0.3804347826086956
11-9111,11-9111.00,0.3714285714285714
11-9131,11-9131.00,0.4523809523809523
11-9141,11-9141.00,0.4318181818181818
11-9151,11-9151.00,0.4464285714285714
11-9161,11-9161.00,0.6
11-9171,11-9171.00,0.5357142857142857
13-1011,13-1011.00,0.3695652173913043
13-1031,13-1031.00,0.49
13-1032,13-1032.00,0.5
13-1051,13-1051.00,0.4807692307692308
13-1071,13-1071.00,0.5888888888888889
13-1074,13-1074.00,0.0
13-1075,13-1075.00,0.4433962264150943
13-1082,13-1082.00,0.4
13-1111,13-1111.00,0.5
13-1121,13-1121.00,0.3648648648648649
13-1131,13-1131.00,0.4903846153846154
13-1141,13-1141.00,0.4736842105263157
13-1151,13-1151.00,0.5921052631578947
13-2011,13-2011.00,0.52
13-2031,13-2031.00,0.64
13-2041,13-2041.00,0.5555555555555556
13-2051,13-2051.00,0.5
13-2052,13-2052.00,0.6710526315789473
13-2053,13-2053.00,0.5
13-2054,13-2054.00,0.5833333333333334
13-2061,13-2061.00,0.5757575757575758
13-2071,13-2071.00,0.6931818181818182
13-2072,13-2072.00,0.6477272727272727
13-2081,13-2081.00,0.6774193548387096
13-2082,13-2082.00,0.625
15-1212,15-1212.00,0.5434782608695652
15-1221,15-1221.00,0.5
15-1231,15-1231.00,0.5384615384615385
15-1232,15-1232.00,0.6666666666666666
15-1242,15-1242.00,0.5967741935483871
15-1244,15-1244.00,0.5135135135135136
15-1251,15-1251.00,0.6833333333333333
15-1252,15-1252.00,0.4473684210526315
15-1253,15-1253.00,0.6140350877192982
15-1254,15-1254.00,0.6346153846153847
15-2011,15-2011.00,0.537037037037037
15-2021,15-2021.00,0.6904761904761905
15-2031,15-2031.00,0.6290322580645161
15-2099,15-2099.01,0.65
17-1011,17-1011.00,0.4302325581395348
17-1012,17-1012.00,0.3684210526315789
17-1021,17-1021.00,0.46
17-2011,17-2011.00,0.5178571428571428
17-2021,17-2021.00,0.3333333333333333
17-2031,17-2031.00,0.5384615384615384
17-2041,17-2041.00,0.3461538461538461
17-2061,17-2061.00,0.3181818181818182
17-2071,17-2071.00,0.40625
17-2081,17-2081.00,0.5
17-2121,17-2121.00,0.4035087719298245
17-2131,17-2131.00,0.3170731707317073
17-2151,17-2151.00,0.5
17-2161,17-2161.00,0.475
17-2171,17-2171.00,0.4305555555555555
17-3011,17-3011.00,0.52
17-3012,17-3012.00,0.4893617021276595
17-3013,17-3013.00,0.4655172413793103
17-3021,17-3021.00,0.225
17-3022,17-3022.00,0.4772727272727273
17-3023,17-3023.00,0.330188679245283
17-3025,17-3025.00,0.4342105263157894
17-3028,17-3028.00,0.2666666666666666
17-3031,17-3031.00,0.5106382978723404
19-1011,19-1011.00,0.84375
19-1012,19-1012.00,0.5
19-1013,19-1013.00,0.6304347826086957
19-1021,19-1021.00,0.4431818181818182
19-1022,19-1022.00,0.3125
19-1023,19-1023.00,0.5238095238095237
19-1032,19-1032.00,0.3676470588235294
19-1041,19-1041.00,0.5576923076923077
19-1042,19-1042.00,0.5681818181818182
19-2011,19-2011.00,0.421875
19-2012,19-2012.00,0.6363636363636364
19-2021,19-2021.00,0.6086956521739131
19-2031,19-2031.00,0.4
19-2032,19-2032.00,0.5172413793103449
19-2042,19-2042.00,0.4777777777777778
19-2043,19-2043.00,0.53125
19-2099,19-2099.01,0.4456521739130434
19-3022,19-3022.00,0.84375
19-3032,19-3032.00,0.5888888888888889
19-3033,19-3033.00,0.5092592592592592
19-3034,19-3034.00,0.5810810810810811
19-3041,19-3041.00,0.6153846153846154
19-3051,19-3051.00,0.5795454545454546
19-3091,19-3091.00,0.5172413793103449
19-3092,19-3092.00,0.375
19-3093,19-3093.00,0.5
19-3094,19-3094.00,0.5416666666666666
19-3099,19-3099.01,0.6627906976744186
19-4013,19-4013.00,0.2857142857142857
19-4021,19-4021.00,0.2666666666666666
19-4031,19-4031.00,0.3928571428571428
19-4042,19-4042.00,0.4222222222222222
19-4043,19-4043.00,0.3048780487804878
19-4044,19-4044.00,0.53125
19-4061,19-4061.00,0.6212121212121212
19-4071,19-4071.00,0.3269230769230769
19-4092,19-4092.00,0.1935483870967742
19-5011,19-5011.00,0.3571428571428571
19-5012,19-5012.00,0.4166666666666666
21-1012,21-1012.00,0.3245614035087719
21-1013,21-1013.00,0.2777777777777778
21-1015,21-1015.00,0.4677419354838709
21-1021,21-1021.00,0.3
21-1022,21-1022.00,0.421875
21-1023,21-1023.00,0.3541666666666666
21-1091,21-1091.00,0.5
21-1092,21-1092.00,0.4473684210526315
21-1093,21-1093.00,0.375
21-1094,21-1094.00,0.3472222222222222
21-2011,21-2011.00,0.238095238095238
21-2021,21-2021.00,0.4545454545454546
23-1011,23-1011.00,0.475
23-1012,23-1012.00,0.4482758620689655
23-1021,23-1021.00,0.3461538461538461
23-1022,23-1022.00,0.3709677419354839
23-1023,23-1023.00,0.25
23-2011,23-2011.00,0.45
23-2093,23-2093.00,0.5535714285714285
25-1011,25-1011.00,0.4204545454545454
25-1021,25-1021.00,0.369047619047619
25-1022,25-1022.00,0.4324324324324324
25-1031,25-1031.00,0.426829268292683
25-1032,25-1032.00,0.4166666666666666
25-1041,25-1041.00,0.5888888888888889
25-1042,25-1042.00,0.3979591836734693
25-1043,25-1043.00,0.4239130434782608
25-1051,25-1051.00,0.4
25-1052,25-1052.00,0.4019607843137255
25-1053,25-1053.00,0.4239130434782608
25-1054,25-1054.00,0.3720930232558139
25-1061,25-1061.00,0.4081632653061224
25-1062,25-1062.00,0.4444444444444445
25-1063,25-1063.00,0.4390243902439024
25-1064,25-1064.00,0.4659090909090909
25-1065,25-1065.00,0.4146341463414634
25-1066,25-1066.00,0.39
25-1067,25-1067.00,0.3977272727272727
25-1071,25-1071.00,0.3875
25-1072,25-1072.00,0.3725490196078431
25-1081,25-1081.00,0.4404761904761904
25-1082,25-1082.00,0.425531914893617
25-1111,25-1111.00,0.4375
25-1112,25-1112.00,0.5875
25-1113,25-1113.00,0.5113636363636364
25-1121,25-1121.00,0.59375
